date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:22:24	6343/6343	---M--	200	added ('OK')	text/html	date:Sun,%2023%20Apr%202006%2023:33:09%20GMT	http://www.reportmill.com/support/PropertyExpressions/	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/PropertyExpressions/index-2.html	(from http://www.reportmill.com/support/PropertyExpressions)
19:22:24	7081/7081	---M--	200	added ('OK')	text/html	date:Sat,%2021%20Oct%202006%2000:00:48%20GMT	http://www.reportmill.com/support/imagesubstitution/	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/imagesubstitution/index.html	(from http://www.reportmill.com/support/imagesubstitution)
19:22:24	336/336	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Dec%202017%2000:22:25%20GMT	http://reportmill.com/support/rm8/javadoc	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/rm8/javadoc.5.delayed	(from http://reportmill.com/support/TemplateManipulation.html)
19:22:25	334/334	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Dec%202017%2000:22:26%20GMT	http://www.reportmill.com/jars/poi30-rm.jar	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/jars/poi30-rm.jar	(from http://reportmill.com/support/Excel.html)
19:22:25	6521/6521	U-----	200	untouched ('OK')	text/html	date:Tue,%2007%20Feb%202006%2022:03:57%20GMT	http://reportmill.com/support/swing-view/	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/swing-view/index.html	(from http://reportmill.com/support/swing-view)
19:22:25	5144/5144	U-----	200	untouched ('OK')	text/html	date:Mon,%2017%20Jan%202005%2019:06:50%20GMT	http://reportmill.com/support/cases/	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/cases/index.html	(from http://reportmill.com/support/cases)
19:22:25	27312/27312	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Jan%202007%2016:44:20%20GMT	http://www.reportmill.com/support/Resizing/Layout1.jpg	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/Resizing/Layout1.jpg	(from http://www.reportmill.com/support/Resizing/)
19:22:26	28514/28514	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Jan%202007%2018:01:51%20GMT	http://www.reportmill.com/support/Resizing/Layout2.jpg	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/Resizing/Layout2.jpg	(from http://www.reportmill.com/support/Resizing/)
19:22:26	18983/18983	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Jan%202007%2018:26:20%20GMT	http://www.reportmill.com/support/Resizing/Layout3.jpg	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/Resizing/Layout3.jpg	(from http://www.reportmill.com/support/Resizing/)
19:22:26	28625/28625	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Jan%202007%2018:32:31%20GMT	http://www.reportmill.com/support/Resizing/Layout4.jpg	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/Resizing/Layout4.jpg	(from http://www.reportmill.com/support/Resizing/)
19:22:26	4514/4514	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Jan%202007%2020:48:12%20GMT	http://www.reportmill.com/support/Resizing/overflow.jpg	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/Resizing/overflow.jpg	(from http://www.reportmill.com/support/Resizing/)
19:22:27	3114/3114	---M--	200	added ('OK')	text/plain	date:Thu,%2014%20Jul%202005%2000:11:39%20GMT	http://www.reportmill.com/support/imagesubstitution/RMImageTest.java	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/imagesubstitution/RMImageTest.java	(from http://www.reportmill.com/support/imagesubstitution/)
19:22:27	19102/19102	---M--	200	added ('OK')	application/pdf	date:Sun,%2013%20Jul%202003%2000:51:44%20GMT	http://www.reportmill.com/support/imagesubstitution/RMImageTest.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/imagesubstitution/RMImageTest.pdf	(from http://www.reportmill.com/support/imagesubstitution/)
19:22:27	3386/3386	---M--	200	added ('OK')	text/plain	date:Tue,%2027%20Jan%202009%2015:35:23%20GMT	http://reportmill.com/support/cases/case1/ReportMillTest.java	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/cases/case1/ReportMillTest.java	(from http://reportmill.com/support/cases/)
19:22:27	0/0	---M--	200	added ('OK')	text/plain	date:Tue,%2027%20Jan%202009%2015:47:59%20GMT	http://reportmill.com/support/cases/case2/ReportMillTest.java	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/cases/case2/ReportMillTest.java	(from http://reportmill.com/support/cases/)
19:22:27	0/0	---M--	200	added ('OK')	text/plain	date:Tue,%2027%20Jan%202009%2015:59:16%20GMT	http://reportmill.com/support/cases/case3/RMRack.java	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/cases/case3/RMRack.java	(from http://reportmill.com/support/cases/)
19:22:28	116891/116891	---M--	200	added ('OK')	text/plain	date:Mon,%2019%20Apr%202004%2023:31:45%20GMT	http://reportmill.com/support/cases/case3/RMRack.rpt	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/cases/case3/RMRack.rpt	(from http://reportmill.com/support/cases/)
19:22:28	965/965	---M--	200	added ('OK')	text/plain	date:Tue,%2027%20Jan%202009%2016:03:33%20GMT	http://reportmill.com/support/cases/case4/RMPDFMerge.java	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/cases/case4/RMPDFMerge.java	(from http://reportmill.com/support/cases/)
19:22:29	12777/12777	---M--	200	added ('OK')	application/pdf	date:Thu,%2022%20Apr%202004%2019:27:22%20GMT	http://reportmill.com/support/cases/case4/RMPDFMerge.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/cases/case4/RMPDFMerge.pdf	(from http://reportmill.com/support/cases/)
19:22:29	70808/70808	---M--	200	added ('OK')	application/pdf	date:Mon,%2019%20Apr%202004%2023:31:51%20GMT	http://reportmill.com/support/cases/case3/RMRack.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/cases/case3/RMRack.pdf	(from http://reportmill.com/support/cases/)
19:22:29	1745/1745	---M--	200	added ('OK')	application/pdf	date:Thu,%2022%20Apr%202004%2019:27:13%20GMT	http://reportmill.com/support/cases/case4/title.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/cases/case4/title.pdf	(from http://reportmill.com/support/cases/)
19:22:29	10011/10011	---M--	200	added ('OK')	application/pdf	date:Thu,%2022%20Apr%202004%2019:27:10%20GMT	http://reportmill.com/support/cases/case4/logo.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/cases/case4/logo.pdf	(from http://reportmill.com/support/cases/)
19:22:30	1220/1220	---M--	200	added ('OK')	application/pdf	date:Thu,%2022%20Apr%202004%2019:27:07%20GMT	http://reportmill.com/support/cases/case4/body.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/cases/case4/body.pdf	(from http://reportmill.com/support/cases/)
19:22:30	3958/3958	---M--	200	added ('OK')	text/plain	date:Tue,%2027%20Jan%202009%2016:20:30%20GMT	http://reportmill.com/support/cases/case5/ReportMillTest.java	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/cases/case5/ReportMillTest.java	(from http://reportmill.com/support/cases/)
